customer_id,channel,event_type,timestamp,revenue
1,Google,touchpoint,2024-01-07,0.0
1,direct,purchase,2024-01-07,141.81
2,Facebook,touchpoint,2024-01-23,0.0
2,Instagram,touchpoint,2024-01-24,0.0
2,Google,touchpoint,2024-01-25,0.0
2,Organic,touchpoint,2024-01-29,0.0
2,Instagram,touchpoint,2024-02-12,0.0
3,Facebook,touchpoint,2024-04-17,0.0
3,Email,touchpoint,2024-04-22,0.0
3,Google,touchpoint,2024-04-19,0.0
3,Email,touchpoint,2024-04-29,0.0
3,Google,touchpoint,2024-04-29,0.0
3,direct,purchase,2024-05-01,38.4
4,Email,touchpoint,2024-01-25,0.0
4,Email,touchpoint,2024-01-30,0.0
4,Facebook,touchpoint,2024-01-27,0.0
4,Instagram,touchpoint,2024-02-09,0.0
5,Email,touchpoint,2024-01-21,0.0
5,Email,touchpoint,2024-01-26,0.0
5,Google,touchpoint,2024-01-31,0.0
5,Instagram,touchpoint,2024-01-24,0.0
6,Instagram,touchpoint,2024-01-21,0.0
6,Email,touchpoint,2024-01-25,0.0
6,Email,touchpoint,2024-01-29,0.0
6,direct,purchase,2024-01-31,57.71
7,Organic,touchpoint,2024-06-28,0.0
7,Organic,touchpoint,2024-06-30,0.0
7,Google,touchpoint,2024-07-02,0.0
8,Google,touchpoint,2024-06-12,0.0
8,Instagram,touchpoint,2024-06-15,0.0
8,Instagram,touchpoint,2024-06-16,0.0
9,Google,touchpoint,2024-03-09,0.0
9,Email,touchpoint,2024-03-14,0.0
9,Facebook,touchpoint,2024-03-13,0.0
9,Facebook,touchpoint,2024-03-21,0.0
9,direct,purchase,2024-03-22,64.39
10,Organic,touchpoint,2024-05-17,0.0
10,Organic,touchpoint,2024-05-21,0.0
10,Email,touchpoint,2024-05-25,0.0
10,Google,touchpoint,2024-05-23,0.0
10,Facebook,touchpoint,2024-06-06,0.0
10,direct,purchase,2024-06-06,175.0
11,Facebook,touchpoint,2024-06-09,0.0
11,Instagram,touchpoint,2024-06-14,0.0
11,direct,purchase,2024-06-17,115.24
12,Organic,touchpoint,2024-01-03,0.0
12,Email,touchpoint,2024-01-06,0.0
12,Email,touchpoint,2024-01-05,0.0
12,Google,touchpoint,2024-01-15,0.0
12,Instagram,touchpoint,2024-01-19,0.0
13,Organic,touchpoint,2024-05-08,0.0
13,Email,touchpoint,2024-05-09,0.0
13,Organic,touchpoint,2024-05-18,0.0
13,direct,purchase,2024-05-20,157.25
14,Organic,touchpoint,2024-05-15,0.0
14,Facebook,touchpoint,2024-05-18,0.0
14,Instagram,touchpoint,2024-05-17,0.0
14,Email,touchpoint,2024-05-24,0.0
14,Instagram,touchpoint,2024-05-23,0.0
14,direct,purchase,2024-05-23,35.42
15,Google,touchpoint,2024-01-18,0.0
15,Facebook,touchpoint,2024-01-20,0.0
15,Google,touchpoint,2024-01-28,0.0
15,Organic,touchpoint,2024-01-27,0.0
16,Google,touchpoint,2024-02-24,0.0
16,Facebook,touchpoint,2024-02-27,0.0
16,Facebook,touchpoint,2024-03-01,0.0
16,Facebook,touchpoint,2024-03-10,0.0
16,direct,purchase,2024-03-11,31.52
17,Google,touchpoint,2024-05-30,0.0
18,Google,touchpoint,2024-01-19,0.0
18,direct,purchase,2024-01-19,174.73
19,Email,touchpoint,2024-05-11,0.0
20,Organic,touchpoint,2024-05-18,0.0
20,Facebook,touchpoint,2024-05-23,0.0
20,direct,purchase,2024-05-26,165.35
21,Facebook,touchpoint,2024-01-25,0.0
21,Facebook,touchpoint,2024-01-28,0.0
22,Instagram,touchpoint,2024-06-21,0.0
23,Google,touchpoint,2024-01-28,0.0
23,Organic,touchpoint,2024-01-30,0.0
23,Google,touchpoint,2024-02-05,0.0
24,Instagram,touchpoint,2024-04-28,0.0
24,Organic,touchpoint,2024-05-02,0.0
24,Instagram,touchpoint,2024-04-30,0.0
25,Google,touchpoint,2024-01-04,0.0
25,Facebook,touchpoint,2024-01-06,0.0
25,Facebook,touchpoint,2024-01-12,0.0
25,Facebook,touchpoint,2024-01-10,0.0
25,Google,touchpoint,2024-01-08,0.0
25,direct,purchase,2024-01-11,67.74
26,Organic,touchpoint,2024-03-14,0.0
26,Google,touchpoint,2024-03-18,0.0
26,Email,touchpoint,2024-03-18,0.0
26,Instagram,touchpoint,2024-03-20,0.0
27,Instagram,touchpoint,2024-01-16,0.0
27,Organic,touchpoint,2024-01-17,0.0
27,Organic,touchpoint,2024-01-24,0.0
27,Google,touchpoint,2024-01-31,0.0
27,Organic,touchpoint,2024-01-20,0.0
27,direct,purchase,2024-01-21,32.33
28,Facebook,touchpoint,2024-06-21,0.0
28,direct,purchase,2024-06-22,124.21
29,Facebook,touchpoint,2024-06-07,0.0
30,Email,touchpoint,2024-05-13,0.0
30,Email,touchpoint,2024-05-15,0.0
30,Email,touchpoint,2024-05-17,0.0
30,Google,touchpoint,2024-05-25,0.0
30,Facebook,touchpoint,2024-05-25,0.0
30,direct,purchase,2024-05-25,21.68
31,Instagram,touchpoint,2024-05-24,0.0
31,Google,touchpoint,2024-05-29,0.0
31,Email,touchpoint,2024-06-03,0.0
31,Email,touchpoint,2024-05-30,0.0
31,Google,touchpoint,2024-05-28,0.0
31,direct,purchase,2024-05-29,98.87
32,Organic,touchpoint,2024-06-29,0.0
32,Instagram,touchpoint,2024-07-04,0.0
32,Email,touchpoint,2024-07-09,0.0
32,Google,touchpoint,2024-07-02,0.0
32,Instagram,touchpoint,2024-07-11,0.0
33,Email,touchpoint,2024-02-09,0.0
33,Google,touchpoint,2024-02-14,0.0
33,Google,touchpoint,2024-02-15,0.0
33,Organic,touchpoint,2024-02-18,0.0
33,Email,touchpoint,2024-02-25,0.0
34,Email,touchpoint,2024-01-24,0.0
34,direct,purchase,2024-01-26,158.8
35,Organic,touchpoint,2024-02-11,0.0
35,Organic,touchpoint,2024-02-15,0.0
35,Instagram,touchpoint,2024-02-13,0.0
35,direct,purchase,2024-02-14,118.21
36,Google,touchpoint,2024-05-29,0.0
36,Google,touchpoint,2024-06-02,0.0
36,Email,touchpoint,2024-05-31,0.0
36,direct,purchase,2024-05-31,181.81
37,Instagram,touchpoint,2024-06-23,0.0
37,Organic,touchpoint,2024-06-26,0.0
38,Google,touchpoint,2024-06-07,0.0
38,Google,touchpoint,2024-06-09,0.0
38,Instagram,touchpoint,2024-06-15,0.0
38,Email,touchpoint,2024-06-13,0.0
39,Email,touchpoint,2024-06-20,0.0
39,Instagram,touchpoint,2024-06-22,0.0
39,Instagram,touchpoint,2024-06-28,0.0
39,Google,touchpoint,2024-07-02,0.0
39,direct,purchase,2024-07-05,82.94
40,Google,touchpoint,2024-02-27,0.0
40,Email,touchpoint,2024-03-02,0.0
40,direct,purchase,2024-03-02,194.04
41,Facebook,touchpoint,2024-03-30,0.0
41,Email,touchpoint,2024-04-04,0.0
41,Instagram,touchpoint,2024-04-01,0.0
42,Email,touchpoint,2024-02-15,0.0
42,Instagram,touchpoint,2024-02-16,0.0
42,Facebook,touchpoint,2024-02-25,0.0
42,direct,purchase,2024-02-27,98.55
43,Organic,touchpoint,2024-01-30,0.0
43,Email,touchpoint,2024-02-01,0.0
43,Facebook,touchpoint,2024-02-01,0.0
43,Organic,touchpoint,2024-02-02,0.0
43,Google,touchpoint,2024-02-19,0.0
43,direct,purchase,2024-02-19,190.8
44,Instagram,touchpoint,2024-06-08,0.0
44,Organic,touchpoint,2024-06-11,0.0
44,Facebook,touchpoint,2024-06-14,0.0
44,direct,purchase,2024-06-16,119.79
45,Google,touchpoint,2024-04-17,0.0
45,Organic,touchpoint,2024-04-22,0.0
45,direct,purchase,2024-04-22,74.7
46,Organic,touchpoint,2024-04-20,0.0
46,Facebook,touchpoint,2024-04-23,0.0
47,Google,touchpoint,2024-05-10,0.0
47,Email,touchpoint,2024-05-11,0.0
48,Google,touchpoint,2024-03-26,0.0
48,Google,touchpoint,2024-03-29,0.0
48,Google,touchpoint,2024-03-30,0.0
48,Instagram,touchpoint,2024-03-29,0.0
48,Facebook,touchpoint,2024-04-03,0.0
49,Organic,touchpoint,2024-04-26,0.0
49,direct,purchase,2024-04-29,108.99
50,Instagram,touchpoint,2024-02-07,0.0
50,Google,touchpoint,2024-02-11,0.0
50,direct,purchase,2024-02-14,29.04
51,Google,touchpoint,2024-02-01,0.0
51,Organic,touchpoint,2024-02-05,0.0
52,Organic,touchpoint,2024-03-22,0.0
52,Facebook,touchpoint,2024-03-27,0.0
52,Facebook,touchpoint,2024-04-01,0.0
52,Facebook,touchpoint,2024-03-28,0.0
52,Email,touchpoint,2024-04-07,0.0
53,Google,touchpoint,2024-05-13,0.0
53,Facebook,touchpoint,2024-05-16,0.0
53,Email,touchpoint,2024-05-15,0.0
53,direct,purchase,2024-05-17,77.55
54,Google,touchpoint,2024-01-21,0.0
54,Facebook,touchpoint,2024-01-23,0.0
54,Google,touchpoint,2024-01-25,0.0
54,Facebook,touchpoint,2024-01-24,0.0
54,Email,touchpoint,2024-02-06,0.0
55,Facebook,touchpoint,2024-01-16,0.0
55,Organic,touchpoint,2024-01-20,0.0
55,Organic,touchpoint,2024-01-18,0.0
55,Facebook,touchpoint,2024-01-28,0.0
55,direct,purchase,2024-01-30,73.75
56,Organic,touchpoint,2024-04-17,0.0
56,Google,touchpoint,2024-04-22,0.0
56,Google,touchpoint,2024-04-25,0.0
56,Facebook,touchpoint,2024-04-26,0.0
57,Google,touchpoint,2024-03-27,0.0
57,Google,touchpoint,2024-03-31,0.0
57,Organic,touchpoint,2024-04-06,0.0
57,Facebook,touchpoint,2024-03-30,0.0
58,Google,touchpoint,2024-01-22,0.0
59,Facebook,touchpoint,2024-01-13,0.0
59,Google,touchpoint,2024-01-16,0.0
60,Facebook,touchpoint,2024-04-07,0.0
60,Instagram,touchpoint,2024-04-10,0.0
60,Instagram,touchpoint,2024-04-15,0.0
61,Instagram,touchpoint,2024-03-30,0.0
62,Google,touchpoint,2024-01-08,0.0
63,Google,touchpoint,2024-02-09,0.0
63,Instagram,touchpoint,2024-02-13,0.0
63,Google,touchpoint,2024-02-19,0.0
63,Email,touchpoint,2024-02-21,0.0
63,Google,touchpoint,2024-02-21,0.0
64,Instagram,touchpoint,2024-02-11,0.0
65,Facebook,touchpoint,2024-05-27,0.0
65,Instagram,touchpoint,2024-05-29,0.0
65,Google,touchpoint,2024-06-06,0.0
65,direct,purchase,2024-06-08,173.05
66,Instagram,touchpoint,2024-01-31,0.0
66,Organic,touchpoint,2024-02-03,0.0
66,Email,touchpoint,2024-02-08,0.0
66,Organic,touchpoint,2024-02-03,0.0
66,Instagram,touchpoint,2024-02-12,0.0
67,Email,touchpoint,2024-01-28,0.0
67,Google,touchpoint,2024-02-01,0.0
67,Google,touchpoint,2024-02-05,0.0
67,Email,touchpoint,2024-02-12,0.0
68,Facebook,touchpoint,2024-05-03,0.0
68,Email,touchpoint,2024-05-08,0.0
68,Google,touchpoint,2024-05-09,0.0
68,Email,touchpoint,2024-05-06,0.0
68,Google,touchpoint,2024-05-19,0.0
69,Email,touchpoint,2024-06-05,0.0
69,Facebook,touchpoint,2024-06-06,0.0
69,Google,touchpoint,2024-06-11,0.0
69,Google,touchpoint,2024-06-17,0.0
69,Email,touchpoint,2024-06-17,0.0
69,direct,purchase,2024-06-19,120.04
70,Google,touchpoint,2024-02-18,0.0
70,Facebook,touchpoint,2024-02-22,0.0
70,Google,touchpoint,2024-02-28,0.0
70,Facebook,touchpoint,2024-03-01,0.0
70,Instagram,touchpoint,2024-03-05,0.0
70,direct,purchase,2024-03-06,92.79
71,Email,touchpoint,2024-03-19,0.0
71,Organic,touchpoint,2024-03-23,0.0
72,Email,touchpoint,2024-05-20,0.0
72,Email,touchpoint,2024-05-24,0.0
72,Email,touchpoint,2024-05-26,0.0
72,Instagram,touchpoint,2024-05-26,0.0
73,Google,touchpoint,2024-01-31,0.0
73,Google,touchpoint,2024-02-02,0.0
73,Email,touchpoint,2024-02-08,0.0
74,Instagram,touchpoint,2024-06-01,0.0
74,Email,touchpoint,2024-06-03,0.0
74,Email,touchpoint,2024-06-05,0.0
74,Email,touchpoint,2024-06-07,0.0
74,Organic,touchpoint,2024-06-05,0.0
74,direct,purchase,2024-06-05,195.37
75,Facebook,touchpoint,2024-03-15,0.0
75,Instagram,touchpoint,2024-03-16,0.0
75,Email,touchpoint,2024-03-25,0.0
75,Facebook,touchpoint,2024-03-27,0.0
75,Email,touchpoint,2024-03-31,0.0
75,direct,purchase,2024-03-31,65.45
76,Facebook,touchpoint,2024-01-30,0.0
76,Instagram,touchpoint,2024-02-03,0.0
76,Instagram,touchpoint,2024-02-09,0.0
76,Google,touchpoint,2024-02-05,0.0
77,Instagram,touchpoint,2024-01-22,0.0
77,Facebook,touchpoint,2024-01-27,0.0
77,Organic,touchpoint,2024-02-01,0.0
78,Facebook,touchpoint,2024-05-13,0.0
78,Email,touchpoint,2024-05-17,0.0
79,Organic,touchpoint,2024-03-19,0.0
79,Organic,touchpoint,2024-03-20,0.0
79,Google,touchpoint,2024-03-21,0.0
79,Email,touchpoint,2024-03-25,0.0
80,Organic,touchpoint,2024-03-02,0.0
80,Google,touchpoint,2024-03-03,0.0
80,direct,purchase,2024-03-06,144.09
81,Google,touchpoint,2024-03-15,0.0
81,Email,touchpoint,2024-03-18,0.0
81,Instagram,touchpoint,2024-03-23,0.0
81,Email,touchpoint,2024-03-21,0.0
82,Facebook,touchpoint,2024-06-18,0.0
82,Organic,touchpoint,2024-06-19,0.0
82,Google,touchpoint,2024-06-22,0.0
82,Google,touchpoint,2024-06-27,0.0
82,Instagram,touchpoint,2024-06-22,0.0
